DeveloperId,Name,Centrality
Kulatamicuda,Kulatamicuda,2435421.6262560105
Yuvi Masory,Yuvi Masory,692415.0452244099
Claudio Clemens,Claudio Clemens,670208.4289329499
Andreas Røsdal,Andreas Røsdal,455021.26638574403
Christopher.Barham,Christopher.Barham,79423.52645102725
Douglas SIX,Douglas SIX,58712.607287197454
Laure Runser,Laure Runser,31597.3492107951
Kindrat,Kindrat,23866.40254614317
art_krahenbuhl,art_krahenbuhl,15537.768186444011
Lonzak,Lonzak,12941.621438902892
Vikash Tiwari,Vikash Tiwari,11018.264291969446
vk-github18,vk-github18,10979.812618224832
jon-hatfield,jon-hatfield,7408.618794910837
Alberto Fernandez,Alberto Fernandez,7184.933348342099
Volker Kunert,Volker Kunert,6427.87045634039
Aleksandr Beliakov,Aleksandr Beliakov,6144.837282459768
Matthias Luppi,Matthias Luppi,4955.146299604723
zrh-LegionLinux,zrh-LegionLinux,3224.3021935610213
Beat Weisskopf,Beat Weisskopf,2784.18064466518
David G. Durand,David G. Durand,2776.116297079492
Igor Luzhanov,Igor Luzhanov,2483.5201439443044
Tellef Møllerup Åmdal,Tellef Møllerup Åmdal,2470.763115869373
compf,compf,2469.0000000000005
RadekWikturna,RadekWikturna,1798.1075852236054
Michael Joyce,Michael Joyce,1479.537727997524
Josef Cacek,Josef Cacek,1323.469167765494
Andreas Rosdal,Andreas Rosdal,1089.5128320143172
Radek Wikturna,Radek Wikturna,676.4180150621244
mkl,mkl,643.8439436044625
Wiktor Kwapisiewicz,Wiktor Kwapisiewicz,580.4761186695939
Kym Eden,Kym Eden,552.300965049414
Lapo Luchini,Lapo Luchini,507.7195763147437
Jeffrey Morlan,Jeffrey Morlan,473.96812271590466
noavarice,noavarice,392.0627889463983
akrahenbuhl,akrahenbuhl,272.0549546058972
vic0075,vic0075,251.55890997475015
szabo.jozsef,szabo.jozsef,117.76413963622147
Wugengxian,Wugengxian,68.35142638300219
wugengxian,wugengxian,68.28044706832648
Armin Weber,Armin Weber,66.27669120871953
Vicente Alencar,Vicente Alencar,59.69690656842355
Lucian Chiriță,Lucian Chiriță,47.961872829882644
jmgarcia,jmgarcia,38.15265841654897
csw,csw,37.33265516505193
CallousedFinger,CallousedFinger,27.58250335489474
Joe T,Joe T,20.157217412607988
SirLefti,SirLefti,18.96180454404223
Tonny-Gu,Tonny-Gu,16.730089841921284
Gajendra kumar,Gajendra kumar,16.47217002920993
mm,mm,14.230385367252625
gajendra.jatav,gajendra.jatav,13.478043399235558
Björn Cersowsky,Björn Cersowsky,10.525213737552015
glards,glards,9.867796916543453
MSFJ99-99,MSFJ99-99,8.557648670274672
Sébastien,Sébastien,8.37276821007124
Vladislav Fuks,Vladislav Fuks,8.291864183324774
asturio,asturio,7.172136620188453
Brooklyn,Brooklyn,6.441904257783119
Sönke Küper,Sönke Küper,6.385754824322048
Porraphit Chuasuk,Porraphit Chuasuk,6.0266432222851725
jansorby,jansorby,5.904191642390533
Matthias Perktold,Matthias Perktold,5.486791574646251
Hanno Fellmann,Hanno Fellmann,5.247298201617764
Cécile Vuilleumier,Cécile Vuilleumier,4.533565101063304
Raphaël Odienne,Raphaël Odienne,4.463533293449014
Pierrick Vandenbroucke,Pierrick Vandenbroucke,4.007860410541282
zyro,zyro,3.7103550214362846
SEKIGUCHI Naoya,SEKIGUCHI Naoya,3.4866423106802977
slvedran,slvedran,3.471165615144101
razilein,razilein,3.3441153768256955
Paul Cormier,Paul Cormier,3.3029650675170688
Marco Postigo Perez,Marco Postigo Perez,3.15718399931402
Alexandr Shandra,Alexandr Shandra,3.0347881799376446
dbu,dbu,2.732309853106688
M. Luppi,M. Luppi,2.5592878472622185
Jonathan Leitschuh,Jonathan Leitschuh,2.196031988577454
evernat,evernat,1.6296120627566386
avolkov,avolkov,1.6262838608026404
"Renoth, Johannes (StMELF-Extern)","Renoth, Johannes (StMELF-Extern)",1.6262838608026404
Hyeon Sung Jang,Hyeon Sung Jang,1.343352150693913
Ben.Kirsche,Ben.Kirsche,1.2525270932985564
kocopepo,kocopepo,1.089019678886258
Yuki YOSHIDA,Yuki YOSHIDA,1.0740452432694392
Sita Geßner,Sita Geßner,0.992299235764849
