DeveloperId,Name,Centrality
Stephen Colebourne,Stephen Colebourne,143140.2004241727
rintcius,rintcius,41056.660404803224
Brian S O'Neill,Brian S O'Neill,21227.97199381188
Gregory Joseph,Gregory Joseph,1291.2683440315427
Sebastian Kürten,Sebastian Kürten,568.981354409202
emopers,emopers,346.9051282903508
Mario Ivankovits,Mario Ivankovits,90.40909090909095
Dave Brosius,Dave Brosius,61.23327440884587
Fabian Lange,Fabian Lange,59.75142107724708
Stephen Colebourne (CI),Stephen Colebourne (CI),39.3730375966658
Jim Newsham,Jim Newsham,27.5
yang.jin,yang.jin,7.6754385964912295
Grzegorz Świerczyński,Grzegorz Świerczyński,5.302533390987639
Michael Hausegger,Michael Hausegger,4.272945915993793
Kurt Alfred Kluever,Kurt Alfred Kluever,3.8847353423976254
Kwang Kim,Kwang Kim,3.1974358974358976
Björn Pollex,Björn Pollex,2.8488676584305463
Afif Ahmed,Afif Ahmed,2.8488676584305463
Adrian-Ryan Acala,Adrian-Ryan Acala,2.828247237083473
Hajime Senuma,Hajime Senuma,2.5228227240031114
Vidar Larsen,Vidar Larsen,2.4688665296260233
Rok Piltaver,Rok Piltaver,1.9650183150183147
Christopher Gardner,Christopher Gardner,1.5
靳阳,靳阳,0.8367032967032967
Rowan Hill,Rowan Hill,0.8232558139534885
Brendan Humphreys,Brendan Humphreys,0.7976460578559275
Hans Joachim Desserud,Hans Joachim Desserud,0.7902673190647873
Jim Gough,Jim Gough,0.7564045774254164
Jason Tedor,Jason Tedor,0.6749497814013943
Mikey Austin,Mikey Austin,0.662102762102762
Dan Cavallaro,Dan Cavallaro,0.527027027027027
Chris Povirk,Chris Povirk,0.43959770324684017
LongHua Huang,LongHua Huang,0.36930597597890824
Emop Project,Emop Project,0.36930597597890824
Bram,Bram,0.3617068363696132
Jeremy Rickard,Jeremy Rickard,0.34537346711259753
Martin Kneissl,Martin Kneissl,0.33805031446540884
Chung-yeol Lee,Chung-yeol Lee,0.33805031446540884
Al Major,Al Major,0.0
Jeff Lavallee,Jeff Lavallee,0.0
John Fletcher,John Fletcher,0.0
dancojocar,dancojocar,0.0
Michael Plump,Michael Plump,0.0
Christopher Elkins,Christopher Elkins,0.0
Oren Benjamin,Oren Benjamin,0.0
mjunginger,mjunginger,0.0
RenniePet,RenniePet,0.0
Vsevolod Ivanov,Vsevolod Ivanov,0.0
Artur Dryomov,Artur Dryomov,0.0
Peter Marsh,Peter Marsh,0.0
David Haguenauer,David Haguenauer,0.0
Keith Amling,Keith Amling,0.0
Jorge Perez Alvarez,Jorge Perez Alvarez,0.0
Craig Gidney,Craig Gidney,0.0
vrozkovec,vrozkovec,0.0
Valentin Nastasache,Valentin Nastasache,0.0
Ed Wagstaff,Ed Wagstaff,0.0
William Delanoue,William Delanoue,0.0
jishi9,jishi9,0.0
Arend v. Reinersdorff,Arend v. Reinersdorff,0.0
KAWACHI Takashi,KAWACHI Takashi,0.0
Tiem Song,Tiem Song,0.0
Emiliano Clariá,Emiliano Clariá,0.0
Alex,Alex,0.0
Ing. Jan Kaláb,Ing. Jan Kaláb,0.0
Buryakov Dmitry,Buryakov Dmitry,0.0
Kivanc Sunkar,Kivanc Sunkar,0.0
Arthur Carlsson,Arthur Carlsson,0.0
Brian Melton,Brian Melton,0.0
Can Yapan,Can Yapan,0.0
john9x,john9x,0.0
Evgeniy Devyatykh,Evgeniy Devyatykh,0.0
Kaj Hejer,Kaj Hejer,0.0
Jericho,Jericho,0.0
Katy Pedelty,Katy Pedelty,0.0
Paul Martin,Paul Martin,0.0
John Brunton,John Brunton,0.0
Rick Jensen,Rick Jensen,0.0
Michael Ernst,Michael Ernst,0.0
Alberto Scotto,Alberto Scotto,0.0
Zhanbolat Raimbekov,Zhanbolat Raimbekov,0.0
Vadim Varnavsky,Vadim Varnavsky,0.0
Alex Anderson,Alex Anderson,0.0
Greg,Greg,0.0
Hélène Martin,Hélène Martin,0.0
Anton Qiu,Anton Qiu,0.0
adelviscio,adelviscio,0.0
Alexander Shopov,Alexander Shopov,0.0
Niklas Fiekas,Niklas Fiekas,0.0
Vincent Privat,Vincent Privat,0.0
Brad Arndt,Brad Arndt,0.0
Brenna Heaps,Brenna Heaps,0.0
Michael Sotnikov,Michael Sotnikov,0.0
aleksandr_kolinchenko@epam.com,aleksandr_kolinchenko@epam.com,0.0
Dave Syer,Dave Syer,0.0
github-actions[bot],github-actions[bot],0.0
Matt Johnson-Pint,Matt Johnson-Pint,0.0
dependabot[bot],dependabot[bot],0.0
Dominik Baláž,Dominik Baláž,0.0
Kuunh,Kuunh,0.0
Sergi Almacellas Abellana,Sergi Almacellas Abellana,0.0
Mikel Larreategi,Mikel Larreategi,0.0
H. Z. Sababa,H. Z. Sababa,0.0
mo20053444,mo20053444,0.0
Mustofa,Mustofa,0.0
syafiqnazim,syafiqnazim,0.0
Besnik Bleta,Besnik Bleta,0.0
DavidKorczynski,DavidKorczynski,0.0
Antonio Hernan,Antonio Hernan,0.0
Cyril de Catheu,Cyril de Catheu,0.0
