FileName,DeveloperId,DeveloperName,ProjectId,ChangeType
Anchor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Annotation.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BadElementException.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Cell.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Chapter.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ChapterAutoNumber.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Chunk.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
DocListener.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
DocWriter.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Document.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
DocumentException.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Element.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ElementListener.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ElementTags.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ExceptionConverter.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Font.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
FontFactory.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
FontFactoryImp.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
FontProvider.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
GreekList.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Header.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
HeaderFooter.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Image.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ImgCCITT.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ImgJBIG2.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ImgRaw.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ImgTemplate.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ImgWMF.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Jpeg.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Jpeg2000.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
LargeElement.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
List.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ListItem.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
MarkedObject.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
MarkedSection.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Meta.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PageSize.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Paragraph.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Phrase.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Rectangle.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
RectangleReadOnly.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
RomanList.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Row.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
RtfElementInterface.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Section.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SimpleCell.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SimpleTable.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SpecialSymbol.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SplitCharacter.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Table.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TextElementArray.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Utilities.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ZapfDingbatsList.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ZapfDingbatsNumberList.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
MessageLocalization.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BadPasswordException.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
IllegalPdfSyntaxException.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
InvalidPdfException.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
UnsupportedPdfException.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ElementFactory.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
GreekAlphabetFactory.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
RomanAlphabetFactory.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
RomanNumberFactory.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
HtmlEncoder.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
HtmlParser.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
HtmlPeer.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
HtmlTagMap.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
HtmlTags.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
HtmlWriter.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
