MethodId,Name,ClassId
Restuarant_Manager,Restuarant_Manager,Restuarant_Manager
getRestuarant_id,getRestuarant_id,Restuarant_Manager
setRestuarant_id,setRestuarant_id,Restuarant_Manager
User,User,User
User,User,User
getId,getId,User
setId,setId,User
getFirst_name,getFirst_name,User
setFirst_name,setFirst_name,User
getLast_name,getLast_name,User
setLast_name,setLast_name,User
getAllUsers,getAllUsers,UserService
neworder,neworder,Order_Controller
createUser,createUser,User_Controller
getAllUsers,getAllUsers,User_Controller
SaveUser,SaveUser,UserDBHandler
main,main,FoodDeliveryAppApplication
contextLoads,contextLoads,SpringBootDataJpAwithMySqlApplicationTests
Restuarant_Manager,Restuarant_Manager,Restuarant_Manager
getRestuarant_name,getRestuarant_name,Restuarant_Manager
setRestuarant_name,setRestuarant_name,Restuarant_Manager
getRestuarant_location,getRestuarant_location,Restuarant_Manager
setRestuarant_location,setRestuarant_location,Restuarant_Manager
getTimming,getTimming,Restuarant_Manager
setTimming,setTimming,Restuarant_Manager
getCuisine,getCuisine,Restuarant_Manager
setCuisine,setCuisine,Restuarant_Manager
getRestuarant_id,getRestuarant_id,Restuarant_Manager
setRestuarant_id,setRestuarant_id,Restuarant_Manager
getId,getId,User
setId,setId,User
getFirst_name,getFirst_name,User
setFirst_name,setFirst_name,User
getLast_name,getLast_name,User
setLast_name,setLast_name,User
getUser_name,getUser_name,User
setUser_name,setUser_name,User
getPassword,getPassword,User
setPassword,setPassword,User
getIs_active,getIs_active,User
setIs_active,setIs_active,User
getEmail,getEmail,User
setEmail,setEmail,User
getPhone,getPhone,User
setPhone,setPhone,User
getAllUsers,getAllUsers,UserService
createUser,createUser,User_Controller
getAllUsers,getAllUsers,User_Controller
SaveUser,SaveUser,UserDBHandler
Restuarant_Manager,Restuarant_Manager,Restuarant_Manager
getRestuarant_name,getRestuarant_name,Restuarant_Manager
setRestuarant_name,setRestuarant_name,Restuarant_Manager
getRestuarant_location,getRestuarant_location,Restuarant_Manager
setRestuarant_location,setRestuarant_location,Restuarant_Manager
getTimming,getTimming,Restuarant_Manager
setTimming,setTimming,Restuarant_Manager
getCuisine,getCuisine,Restuarant_Manager
setCuisine,setCuisine,Restuarant_Manager
getRestuarant_id,getRestuarant_id,Restuarant_Manager
setRestuarant_id,setRestuarant_id,Restuarant_Manager
createUser,createUser,User_Controller
getAllUsers,getAllUsers,User_Controller
Restuarant_Manager,Restuarant_Manager,Restuarant_Manager
getRestuarant_name,getRestuarant_name,Restuarant_Manager
setRestuarant_name,setRestuarant_name,Restuarant_Manager
getRestuarant_location,getRestuarant_location,Restuarant_Manager
setRestuarant_location,setRestuarant_location,Restuarant_Manager
getTimming,getTimming,Restuarant_Manager
setTimming,setTimming,Restuarant_Manager
getCuisine,getCuisine,Restuarant_Manager
setCuisine,setCuisine,Restuarant_Manager
getRestuarant_id,getRestuarant_id,Restuarant_Manager
setRestuarant_id,setRestuarant_id,Restuarant_Manager
getVehicle_type,getVehicle_type,Rider
setVehicle_type,setVehicle_type,Rider
getLocation,getLocation,Rider
setLocation,setLocation,Rider
getAvailability,getAvailability,Rider
setAvailability,setAvailability,Rider
getRating,getRating,Rider
